Date,Open,High,Low,Close,Adj Close,Volume
7/8/15,206.419998,206.759995,204.25,204.529999,189.783005,164020100
7/7/15,206.960007,208.169998,204.110001,208.009995,193.012085,173820200
7/6/15,205.770004,207.649994,205.529999,206.669998,191.768707,117975400
7/2/15,208.070007,208.270004,206.809998,207.320007,192.371857,104373700
7/1/15,207.729996,208.029999,206.559998,207.570007,192.603836,135979900
6/30/15,207.259995,207.320007,205.279999,205.889999,191.044968,182925100
6/29/15,208.050003,209.830002,205.330002,205.470001,190.655243,202621300
6/26/15,210.289993,210.580002,209.160004,209.899994,194.765823,104174800
6/25/15,211.100006,211.25,209.770004,209.830002,194.700867,97107400
6/24/15,211.720001,212.169998,210.470001,210.509995,195.331833,92307300
6/23/15,212.139999,212.440002,211.570007,212.050003,196.760788,68476800
6/22/15,211.910004,212.589996,211.639999,211.889999,196.612335,70696000
6/19/15,211.460007,211.550003,210.360001,210.809998,195.610214,130478700
6/18/15,211.309998,213.339996,210.630005,212.710007,196.417419,165867900
6/17/15,210.589996,211.320007,209.360001,210.589996,194.459778,126708600
6/16/15,208.929993,210.350006,208.720001,210.25,194.145859,85308200
6/15/15,208.639999,209.449997,207.789993,209.100006,193.083969,124384200
6/12/15,210.639999,211.479996,209.679993,209.929993,193.850388,135382400
6/11/15,211.479996,212.089996,211.199997,211.649994,195.438599,73876400
6/10/15,209.369995,211.410004,209.300003,210.960007,194.801468,134551300
6/9/15,208.449997,209.100006,207.690002,208.449997,192.483749,105034700
6/8/15,209.639999,209.820007,208.389999,208.419998,192.455994,85339800
6/5/15,209.949997,210.580002,208.979996,209.770004,193.702621,121704700
6/4/15,211.070007,211.860001,209.75,210.130005,194.035034,151882800
6/3/15,212,212.669998,211.330002,211.919998,195.687958,87820900
6/2/15,211.020004,212.190002,210.270004,211.360001,195.170853,89527800
6/1/15,211.940002,212.339996,210.619995,211.570007,195.364731,93338800
5/29/15,212.380005,212.429993,210.820007,211.139999,194.967712,111964800
5/28/15,212.330002,212.589996,211.630005,212.460007,196.186539,74974600
5/27/15,211.25,212.979996,210.759995,212.699997,196.408203,93214000
5/26/15,212.399994,212.910004,210.199997,210.699997,194.561401,124308600
5/22/15,213.039993,213.539993,212.910004,212.990005,196.67598,57433500
5/21/15,212.710007,213.75,212.509995,213.5,197.146927,64764600
5/20/15,213.149994,213.779999,212.5,212.880005,196.574402,76857500
5/19/15,213.240005,213.570007,212.690002,213.029999,196.712906,72114600
5/18/15,212.240005,213.399994,212.160004,213.100006,196.777573,72785600
5/15/15,212.440002,212.610001,211.860001,212.440002,196.168091,76510100
5/14/15,211.240005,212.320007,210.910004,212.210007,195.955719,95934000
5/13/15,210.470001,211.220001,209.740005,210.020004,193.933487,94667900
5/12/15,209.610001,210.630005,208.619995,209.979996,193.896515,119727600
5/11/15,211.570007,211.889999,210.520004,210.610001,194.478302,75708100
5/8/15,210.880005,211.860001,210.779999,211.619995,195.410919,155877300
5/7/15,207.919998,209.380005,207.520004,208.869995,192.871552,88244900
5/6/15,209.559998,209.929993,206.759995,208.039993,192.105087,135060200
5/5/15,211.029999,211.460007,208.729996,208.899994,192.899231,113326200
5/4/15,211.229996,212.020004,211.100006,211.320007,195.133881,70927200
5/1/15,209.399994,210.770004,209.279999,210.720001,194.579849,103399700
4/30/15,209.880005,210.350006,207.619995,208.460007,192.492935,161304900
4/29/15,211.440002,211.440002,209.600006,210.570007,194.441315,125684900
4/28/15,210.740005,211.5,209.330002,211.440002,195.244736,86863500
4/27/15,212.330002,212.479996,210.539993,210.770004,194.626022,79358100
4/24/15,211.660004,211.970001,211.110001,211.649994,195.438599,61327400
4/23/15,210.149994,211.940002,210.009995,211.160004,194.986145,102585900
4/22/15,210.009995,210.850006,208.899994,210.630005,194.496765,78264600
4/21/15,210.669998,210.860001,209.240005,209.600006,193.545654,72559800
4/20/15,209.059998,210.25,208.960007,209.850006,193.776489,82969100
4/17/15,208.940002,209.229996,207.009995,207.949997,192.022003,191113200
4/16/15,210.029999,210.979996,209.789993,210.369995,194.256653,68934900
4/15/15,210.050003,211.039993,209.949997,210.429993,194.312042,99529300
4/14/15,208.850006,209.710007,208.100006,209.490005,193.444061,73013500
4/13/15,209.869995,210.630005,209.029999,209.089996,193.074707,74436600
4/10/15,209.199997,210.089996,208.960007,210.039993,193.951889,72722900
4/9/15,207.779999,209.179993,207.190002,208.899994,192.899231,85548900
4/8/15,207.550003,208.509995,207.080002,207.979996,192.049667,89351900
4/7/15,207.860001,208.759995,207.240005,207.279999,191.403336,81236300
4/6/15,206.440002,208.449997,205.210007,207.830002,191.911209,114368200
4/2/15,205.619995,206.979996,205.399994,206.440002,190.627686,86900900
4/1/15,206.429993,206.429993,204.509995,205.699997,189.944336,132644700
3/31/15,207.259995,208.100006,206.360001,206.429993,190.618439,126768700
3/30/15,205.740005,208.610001,206.960007,208.25,192.299042,96180400
3/27/15,205.130005,205.949997,204.899994,205.740005,189.981308,109352100
3/26/15,204.960007,206.369995,204.119995,205.270004,189.547302,153067200
3/25/15,209.070007,209.350006,205.710007,205.759995,189.999786,159521700
3/24/15,209.850006,210.399994,208.740005,208.820007,192.825363,77805300
3/23/15,210.419998,211.110001,210,210,193.915024,71310300
3/20/15,209.710007,211.020004,209.490005,210.410004,194.293594,177715100
3/19/15,209.960007,210.470001,209.029999,209.5,192.593811,117917300
3/18/15,207.389999,211.270004,206.619995,210.460007,193.476303,220171200
3/17/15,207.690002,208.419998,206.979996,207.960007,191.178085,91167100
3/16/15,206.710007,208.690002,205.860001,208.580002,191.748032,136099200
3/13/15,206.770004,207.929993,204.580002,205.830002,189.219955,162410900
3/12/15,205.259995,207.179993,205.199997,207.100006,190.387466,93993500
3/11/15,205.289993,205.5,204.399994,204.5,187.997238,110145700
3/10/15,206.710007,206.809998,204.929993,204.979996,188.438507,153901500
3/9/15,207.740005,208.789993,207.550003,208.360001,191.545776,89818900
3/6/15,210.460007,210.460007,207.100006,207.5,190.755188,188128000
3/5/15,209.419998,210.800003,209.850006,210.460007,193.476303,76873000
3/4/15,210.399994,210.490005,209.059998,210.229996,193.264908,105665800
3/3/15,211.470001,212.050003,210.080002,211.119995,194.083038,110325800
3/2/15,210.779999,212.059998,210.720001,211.990005,194.882874,87491400
2/27/15,211.259995,211.580002,210.600006,210.660004,193.660187,108076000
2/26/15,211.520004,211.710007,210.649994,211.380005,194.322052,72697900
2/25/15,211.660004,212.240005,211.220001,211.630005,194.551895,73061700
2/24/15,211.119995,212.050003,210.759995,211.809998,194.717361,70943200
2/23/15,210.940002,211.210007,210.479996,211.210007,194.165817,74411100
2/20/15,209.479996,211.330002,208.729996,211.240005,194.193375,140896400
2/19/15,209.410004,210.419998,209.240005,209.979996,193.035049,91462500
2/18/15,209.660004,210.220001,209.339996,210.130005,193.172974,74848400
2/17/15,209.399994,210.320007,209.100006,210.110001,193.154541,76968200
2/13/15,209.070007,209.839996,208.759995,209.779999,192.851196,93670400
2/12/15,207.889999,208.990005,206.970001,208.919998,192.060577,97545900
2/11/15,206.610001,207.449997,205.830002,206.929993,190.231171,91087800
2/10/15,205.880005,207.119995,204.679993,206.809998,190.12088,96164200
2/9/15,204.770004,205.639999,204.139999,204.630005,188.11676,87219000
2/6/15,206.559998,207.240005,204.919998,205.550003,188.96254,119694900
2/5/15,204.860001,206.300003,204.770004,206.119995,189.486526,97953200
2/4/15,203.919998,205.380005,203.509995,204.059998,187.592804,134306700
2/3/15,203,204.850006,202.550003,204.839996,188.309845,122416200
2/2/15,200.050003,202.029999,197.860001,201.919998,185.625473,163107000
1/30/15,200.570007,202.169998,199.130005,199.449997,183.354767,197729700
1/29/15,200.380005,202.300003,198.679993,201.990005,185.68985,173585400
1/28/15,204.169998,204.289993,199.910004,200.139999,183.989105,168514300
1/27/15,202.970001,204.119995,201.740005,202.740005,186.379318,134044600
1/26/15,204.710007,205.559998,203.850006,205.449997,188.870605,92009700
1/23/15,205.789993,206.100006,204.809998,204.970001,188.429352,115637000
1/22/15,203.990005,206.259995,202.330002,206.100006,189.468185,174356000
1/21/15,201.5,203.660004,200.940002,203.080002,186.691849,122942700
1/20/15,202.399994,202.720001,200.169998,202.059998,185.75415,129466200
1/16/15,198.770004,201.820007,198.550003,201.630005,185.358871,211879600
1/15/15,201.630005,202.009995,198.880005,199.020004,182.959518,176613900
1/14/15,199.649994,201.100006,198.570007,200.860001,184.651016,192991100
1/13/15,204.119995,205.479996,200.509995,202.080002,185.772598,214553300
1/12/15,204.410004,204.600006,201.919998,202.649994,186.296539,144396100
1/9/15,206.399994,206.419998,203.509995,204.25,187.767456,150812300
1/8/15,204.009995,206.160004,203.990005,205.899994,189.284317,147217800
1/7/15,201.419998,202.720001,200.880005,202.309998,185.983978,125346700
1/6/15,202.089996,202.720001,198.860001,199.820007,183.694977,209151400
1/5/15,204.169998,204.369995,201.350006,201.720001,185.441605,169632600
1/2/15,206.380005,206.880005,204.179993,205.429993,188.852234,121465900
12/31/14,207.990005,208.190002,205.389999,205.539993,188.953339,130333800
12/30/14,208.210007,208.369995,207.509995,207.600006,190.847137,73540800
12/29/14,208.220001,208.970001,208.139999,208.720001,191.876709,79643900
12/26/14,208.309998,208.850006,208.25,208.440002,191.619354,57326700
12/24/14,208.020004,208.339996,207.720001,207.770004,191.003418,42963400
12/23/14,208.169998,208.229996,207.399994,207.75,190.984985,122167900
12/22/14,206.75,207.470001,206.460007,207.470001,190.727615,148318900
12/19/14,206.429993,207.330002,205.610001,206.520004,189.854279,245084600
12/18/14,204.740005,212.970001,203.919998,206.779999,189.049957,257633900
